phase	manifest	manifest_sha256
phase1-reproducibility	PHASE1-SHA256SUMS	780499a2d287681acc7cf3a1c0701ddfa29e8c8493ca083c0ee44adee13e478d
phase2a-baseline-forensics	SHA256SUMS	bb05ee5e5811663cd1593788f47f10823888fffcdd4504777bc584ea4090624e
phase2b-baseline-reverification	SHA256SUMS	de5dfbfebc241f71989757d6d51c3b0e2dc45d55db8fce13a7d06b3de9df483f
phase2c-baseline-freeze	SHA256SUMS	a97574fdfb074922299afa12072f1d70c900d20cff4a82aa8218222b750e9635
phase2d-adversarial-matrix	SHA256SUMS	1357dc69fe186cd2e9ad8abdcb517774fabba1d10ede7045d9557ec8dfe1110e
phase3a-runtime-preflight	SHA256SUMS	a2cad1b3eb1ef9fdb9f3a7316a002dab26fdaee119c2fdbffe88f0b6280efb08
phase3b-runtime-side-effects	SHA256SUMS	4128d5582d7c8db78b107ebf6757d0e3331d521d5dbd1278a7276f92be5319ca
phase3c-functional-execution	SHA256SUMS	fca4cd706e211b32f5cf83cd22cf43144d2fdd99ba758ca35507fb11155258a9
phase4a-audit-chain	SHA256SUMS	9e1e026ff973bc33c77331f1c5d8f34d0a7d55583882ef943846c70bf0e4df18
phase4b-chain-verification	SHA256SUMS	141577628af954b74b8c4f5b87a70ef43d95636c4ddb445dce8d73d84901cc3e
